keys,ja
ui_pomodoro_reflection_warning,あと{0}秒で自動的にスキップされます
ui_pomodoro_reflection_complete,確定する
ui_pomodoro_break_skip,休憩をスキップ
ui_res_stamina_potion,スタミナポーション
ui_base_use_potion,使う
ui_guild_warehouse,倉庫
ui_guild_shop,ショップ
ui_guild_training,育成
ui_guild_research,研究
ui_guild_workshop,作業場
ui_nav_warehouse,倉庫
ui_nav_shop,ショップ
ui_nav_training,育成
ui_nav_research,研究
ui_nav_workshop,作業場
ui_warehouse_tab_inventory,持ち物
ui_warehouse_tab_codex,図鑑
ui_warehouse_tab_chest,宝箱
ui_warehouse_open_all,すべて開ける
ui_warehouse_open,開ける
ui_warehouse_empty,なにもありません
ui_warehouse_undiscovered,？？？
ui_warehouse_no_chest,受け取れる宝箱はありません
ui_warehouse_opened,開けました
ui_battle_victory,勝利
ui_battle_defeat,敗北
ui_battle_retry,もう一度
ui_battle_back,拠点へ戻る
ui_battle_reward_gold,ゴールド
ui_battle_char_swordsman,剣士
ui_battle_char_archer,弓兵
ui_battle_enemy_slime,スライム
ui_battle_enemy_wolf,ウルフ
ui_battle_enemy_slime_king,スライムキング
ui_battle_char_priest,僧侶
ui_battle_skill_power_slash,強撃
ui_battle_skill_wide_sweep,横薙ぎ
ui_battle_skill_snipe,狙撃
ui_battle_skill_arrow_rain,矢の雨
ui_battle_skill_healing_light,癒しの光
ui_battle_skill_holy_ray,聖光
ui_battle_skill_reckless_strike,捨て身の一撃
ui_battle_skill_last_stand,背水の刃
ui_battle_skill_shield_bash,盾撃
ui_battle_skill_helm_splitter,兜割り
ui_battle_skill_finisher,追い討ち
ui_battle_skill_long_shot,遠矢
ui_battle_skill_rapid_volley,速射
ui_battle_skill_piercing_arrow,貫きの矢
ui_battle_skill_mend,集中治療
ui_battle_skill_drain_life,吸命
ui_battle_skill_purge_wave,浄化の波動
ui_battle_skill_judgement,裁きの雷
ui_battle_just,JUST!
ui_adventure_title,冒険
ui_adventure_stamina_short,スタミナが足りません
ui_adventure_locked,前のステージをクリアすると解放されます
ui_adventure_training,トレーニング
ui_adventure_back,拠点へ戻る
ui_adventure_challenge,挑戦
ui_adventure_party,編成
ui_floor_1,1. 草原のスライム
ui_floor_2,2. 風わたる丘
ui_floor_3,3. 荒野の群れ
ui_floor_4,4. 霧ふかき森
ui_floor_5,5. 森の主
ui_floor_node_battle,たたかう
ui_floor_node_boss,ボス
ui_floor_node_rest,休憩
ui_floor_node_relic,レリック
ui_floor_node_shop,ショップ
ui_floor_chest_count,宝箱
ui_floor_rested,ひと休みした。全員のHPが満タンに戻った
ui_floor_node_not_ready,ここはまだ作っていない。そのまま先へ進める
ui_floor_cannot_move,そこへは進めない
ui_floor_abandon,フロアを降りる
ui_floor_back_to_base,拠点へ戻る
ui_floor_resume,続きから
ui_floor_start_failed,フロアに入れなかった
ui_floor_other_in_progress,別のフロアの途中。先に降りること
ui_floor_depth_hint,奥へ進むほど良い宝箱が出やすい
ui_relic_select_title,レリックを1つ選ぶ
ui_relic_select_hint,このフロアのあいだだけ効く。フロアを降りると消える
ui_relic_pick_character,誰に付けるか選ぶ
ui_relic_take,取る
ui_relic_give,これに付ける
ui_relic_take_failed,取れなかった
ui_relic_scope_party,3人全員
ui_relic_scope_single,1人だけ
ui_relic_none,レリック: なし
ui_relic_held,レリック
ui_relic_banner_of_war,いくさの旗
ui_relic_iron_wall,くろがねの壁
ui_relic_warding_stone,まもりの石
ui_relic_swift_boots,はやての靴
ui_relic_lucky_charm,幸運のお守り
ui_relic_hasty_sigil,急ぎの紋
ui_relic_champion_blade,英雄の刃
ui_relic_guardian_plate,守護の鎧
ui_relic_sharp_eye,鷹の目
ui_relic_berserker_mark,狂戦士の刻印
ui_relic_first_strike,先手の護符
ui_relic_thorns,いばらの衣
ui_status_ch_status_relic_banner_of_war,旗
ui_status_ch_status_relic_iron_wall,壁
ui_status_ch_status_relic_warding_stone,護
ui_status_ch_status_relic_swift_boots,速
ui_status_ch_status_relic_lucky_charm,運
ui_status_ch_status_relic_hasty_sigil,急
ui_status_ch_status_relic_champion_blade,剣
ui_status_ch_status_relic_guardian_plate,鎧
ui_status_ch_status_relic_sharp_eye_rate,眼
ui_status_ch_status_relic_sharp_eye_dmg,会
ui_status_ch_status_relic_berserker_mark,狂
ui_status_ch_status_relic_first_strike,先
ui_status_ch_status_relic_thorns,棘
ui_chest_gacha,ショップの当たり
ui_floor_torch,たいまつ
ui_floor_torch_layers,層先
ui_floor_torch_max,これ以上は明るくならない
ui_floor_shop_title,フロアのショップ
ui_floor_shop_gacha_hit,入店の記念にひとつ当たった（持ち帰れる）
ui_floor_shop_gacha_miss,今回は何も出なかった
ui_floor_shop_heal,回復
ui_floor_shop_hurt,傷ついている
ui_floor_shop_buy,買う
ui_floor_shop_bought,買った
ui_floor_shop_healed,手当てした
ui_floor_shop_cannot_buy,買えなかった
ui_floor_shop_leave,店を出る
ui_floor_repeat,周回
ui_floor_repeat_done,1周した。
ui_floor_repeat_gacha,ガチャ
ui_floor_repeat_reject_not_floor,ここは周回できない
ui_floor_repeat_reject_not_cleared,一度クリアすると周回できる
ui_floor_repeat_reject_in_floor,別のフロアの途中。先に降りること
ui_floor_repeat_reject_stamina,スタミナが足りない
ui_floor_chest_found,宝箱を見つけた！
ui_base_save_completed,セーブしました
ui_base_save_failed,セーブに失敗しました
ui_base_chest_received,宝箱を%d個受け取りました
ui_base_potion_received,ポーションを%d個受け取りました
ui_uitest_open,UIテスト
ui_uitest_title,UIテストのページ（デバッグビルドのみ）
ui_uitest_screens,画面を開く
ui_uitest_screens_prepared,画面を開く（先に状態を作るもの）
ui_uitest_prepare_note,押すとランに入り、必要ならボスを倒してから開きます
ui_uitest_prepare_failed,状態を作れませんでした。ログを見てください
ui_uitest_embedded,画面の中身（遷移では見られないもの）
ui_uitest_embedded_note,ポモドーロの4つのビュー。戻るボタンが無いのでここに埋め込んでいます。押しても何も起きません
ui_uitest_parts,部品カタログ
ui_uitest_back,拠点へ戻る
ui_uitest_modal_notify,モーダル（知らせ）
ui_uitest_modal_confirm,モーダル（確認）
ui_uitest_modal_message,これはUIテストのモーダルです
ui_uitest_buttons,ボタン
ui_uitest_button_long,長い文のボタン（はみ出さないか）
ui_uitest_button_wide,幅いっぱいのボタン
ui_uitest_settings,設定項目（いま効いている値）
ui_uitest_settings_note,設定画面はまだ無い。ここは値を見るだけで、変えても保存されない
ui_uitest_play_se,SEを鳴らす
ui_uitest_items,アイテム（カテゴリごと）
ui_uitest_cat_equipment,装備
ui_uitest_cat_part,装飾
ui_uitest_cat_material,素材
ui_uitest_cat_consumable,消耗品
ui_uitest_cat_dungeon,ダンジョン専用
ui_uitest_cat_key_item,キーアイテム
ui_uitest_cat_gift,贈り物
ui_uitest_cat_rune,ルーン
ui_uitest_cat_relic,レリック
ui_uitest_cat_other,その他
ui_title_back_confirm,タイトルに戻りますか？ 保存していない進行状況は失われます
ui_base_pomodoro_rewards,ポーションを%d個、宝箱を%d個受け取りました
ui_title_delete_confirm,セーブデータを削除しますか？ この操作は取り消せません
ui_res_training_material_1,修練の証
ui_training_title,育成
ui_training_level,Lv.%d
ui_training_level_up,レベルアップ
ui_training_cost,必要素材
ui_training_owned,所持
ui_training_max_level,研究で上限の解放が必要です
ui_training_stat_hp,HP
ui_training_stat_atk,攻撃
ui_training_stat_mag,魔力
ui_training_stat_def,物理防御
ui_training_stat_mdef,魔法防御
ui_training_stat_atkspd,攻撃速度
ui_training_stat_haste,CD短縮
ui_training_stat_crit_rate,会心率
ui_training_stat_crit_dmg,会心倍率
ui_training_stat_spd,移動速度
ui_training_skill,スキル
ui_training_equipment,装備
ui_nav_training_skill,スキル
ui_nav_training_equipment,装備
ui_training_to_list,一覧へ
ui_research_title,研究
ui_research_cap,現在のレベル上限 Lv.%d
ui_research_cost,必要素材
ui_research_owned,所持
ui_research_unlock,解放する
ui_research_unlocked,解放済み
ui_research_locked,%s の解放が必要です
ui_research_effect_cap,レベル上限 +%d
ui_research_effect_stat,全ステータス +%d
ui_research_empty,研究データが読み込めませんでした
ui_research_cap_1,訓練場の拡張
ui_research_cap_2,実戦形式の導入
ui_research_cap_3,遠征訓練
ui_research_cap_4,秘伝書の解読
ui_research_stat_1,基礎体力の底上げ
ui_research_board,ボード%d・解放 %d/%d
ui_research_category_combat,戦闘
ui_research_category_chest,宝箱
ui_research_milestone_mid,★ 中間
ui_research_milestone_final,★★ 最後
ui_research_effect_stat_axis,%s +%d
ui_research_effect_chest_draw,宝箱の抽選回数 +%d
ui_research_cap_5,実戦派遣
ui_research_cap_6,古戦場の記録
ui_research_cap_7,大陸の兵法書
ui_research_cap_8,極意の伝授
ui_research_stat_2,総合強化計画
ui_research_stat_atk_1,武器の研磨
ui_research_chest_1,宝箱の目利き
ui_research_b2_hp_1,体力増強
ui_research_b2_def_1,防具の改良
ui_research_b2_chest_1,宝物庫の整理
ui_research_b2_stat_3,総合強化計画II
ui_research_b2_crit_1,急所の研究
ui_research_b2_stat_4,総合強化計画III
ui_guild_shop_buy,購入する
ui_guild_shop_sold_out,売り切れ
ui_guild_shop_stock,在庫
ui_guild_shop_refreshed_at,更新日
ui_guild_shop_purchased,購入しました
ui_guild_shop_failed,購入できませんでした
ui_guild_shop_empty,ショップのデータが読み込めませんでした
ui_guild_workshop_queue,製作中
ui_guild_workshop_recipes,レシピ
ui_guild_workshop_queue_empty,製作中のものはありません
ui_guild_workshop_recipe_empty,作れるものがありません
ui_guild_workshop_start,作る
ui_guild_workshop_collect,受け取る
ui_guild_workshop_done,完成
ui_guild_workshop_started,製作を開始しました
ui_guild_workshop_collected,受け取りました
ui_guild_workshop_failed,実行できませんでした
ui_res_weapon_wooden_sword,木の剣
ui_res_weapon_iron_sword,鉄の剣
ui_res_weapon_steel_sword,鋼の剣
ui_equipment_title,装備
ui_equipment_slot_weapon,武器
ui_equipment_none,なし
ui_equipment_equip,装備する
ui_equipment_unequip,外す
ui_equipment_owned_header,持っている装備
ui_equipment_empty,装備できるものがありません
ui_equipment_equipped,装備した
ui_equipment_unequipped,外した
ui_equipment_failed,装備できなかった
ui_res_forging_material_1,鍛冶の欠片
ui_res_armor_leather_cap,革の帽子
ui_res_armor_iron_helm,鉄の兜
ui_res_armor_leather_vest,革の胴着
ui_res_armor_iron_mail,鉄の鎧
ui_res_armor_leather_boots,革のブーツ
ui_res_armor_iron_greaves,鉄の具足
ui_res_acc_ring_power,力の指輪
ui_res_acc_amulet_life,生命の護符
ui_equipment_slot_header,装備している部位
ui_equipment_slot_head,頭
ui_equipment_slot_armor,上半身
ui_equipment_slot_legs,下半身
ui_equipment_slot_accessory,アクセサリー
ui_equipment_select,選ぶ
ui_equipment_grade,等級%d
ui_equipment_forge,鍛える
ui_equipment_forged,等級が上がった
ui_equipment_max_grade,最大
ui_equipment_equipped_by,装備中：%s
ui_warehouse_dismantle,素材にする
ui_training_nodes,ステータスノード
ui_nav_stat_node,ステータスノード
ui_stat_node_points,残ポイント %d / %d
ui_stat_node_reset,振り直す
ui_skill_select_slots_header,持ち込むスキル
ui_skill_select_candidates_header,スキル候補
ui_skill_select_slot,スキル%d
ui_skill_select_passive_slot,パッシブ%d
ui_skill_select_passive_candidates_header,パッシブ候補
ui_skill_select_empty,未選択
ui_skill_select_locked,（Lv%d で解放）
ui_battle_char_debug_status,検証用（状態）
ui_battle_char_debug_life,検証用（寿命）
ui_battle_char_debug_mix,検証用（複合）
ui_battle_skill_dbg_buff_refresh,再付与バフ
ui_battle_skill_dbg_buff_stack,独立スタックバフ
ui_battle_skill_dbg_buff_atkspd,攻撃速度バフ
ui_battle_skill_dbg_debuff_def,防御デバフ（全体）
ui_battle_skill_dbg_dot_long,長寿命DoT（30発）
ui_battle_skill_dbg_dot_odd,端数DoT（2発）
ui_battle_skill_dbg_charge_guard,チャージ中ガード
ui_battle_skill_dbg_dot_once,単発DoT
ui_battle_skill_dbg_dot_all,全体DoT
ui_battle_skill_dbg_buff_ally,味方全体バフ
ui_battle_skill_dbg_dot_self,自分にDoT
ui_battle_skill_dbg_buff_short,1秒バフ
ui_battle_skill_dbg_mix_all,複合（打撃＋バフ＋DoT）
ui_battle_skill_dbg_delay,遅延2発
ui_battle_skill_dbg_delay_buff,遅延バフ
ui_battle_skill_dbg_drain,吸血
ui_battle_skill_dbg_true,確定ダメージ
ui_battle_skill_dbg_scale_sum,スケール合成
ui_battle_skill_dbg_react_thorns,とげの鎧（反射）
ui_battle_skill_dbg_react_followup,追い討ち（追撃）
ui_battle_skill_dbg_react_warcry,鬨の声（攻撃時バフ）
ui_battle_enemy_dbg_react,検証・反射
ui_battle_enemy_dbg_followup,検証・追撃
ui_battle_enemy_dbg_buff,検証・自己強化
ui_battle_enemy_dbg_dot,検証・毒
ui_battle_enemy_dbg_heal,検証・回復役
ui_battle_enemy_dbg_ranged,検証・遠距離
ui_battle_skill_edbg_react,棘の守り（敵）
ui_battle_skill_edbg_followup,追い討ち（敵）
ui_battle_skill_edbg_buff,咆哮（敵）
ui_battle_skill_edbg_dot,毒の牙（敵）
ui_battle_skill_edbg_heal,癒しの唱和（敵）
ui_battle_skill_edbg_ranged,遠矢（敵）
ui_stage_dbg_enemy_skill,検証・敵のスキル
ui_battle_enemy_dbg_cond,検証・条件
ui_battle_skill_edbg_cond_hp,窮鼠の牙（敵）
ui_battle_skill_dbg_cond_poison,毒への備え
ui_stage_dbg_condition,検証用・条件
ui_battle_enemy_dbg_revive,検証・復活する敵
ui_battle_enemy_dbg_immune,検証・毒に免疫
ui_battle_enemy_dbg_recv,検証・被回復低下
ui_battle_skill_edbg_revive,不死の誓い（敵）
ui_battle_skill_edbg_immune,毒への抵抗（敵）
ui_battle_skill_edbg_recv_down,癒し拒み（敵）
ui_stage_dbg_intervene,検証用・介入点
ui_stage_dbg_passive,検証用・パッシブ
ui_battle_passive_dbg_atk,常在の力（攻撃+30）
ui_battle_passive_dbg_cond_alive,追い詰め（敵1体以下で攻撃+100）
ui_battle_passive_edbg_def,硬い皮膚（敵）
ui_battle_passive_edbg_revive_mark,不死の刻印（敵）
ui_battle_skill_dbg_scale_battle,戦況依存（経過・波・敵数・スタック）
ui_stage_dbg_area,検証用・範囲
ui_battle_skill_dbg_area_narrow,範囲・狭い（起点＝最寄り）
ui_battle_skill_dbg_area_wide,範囲・広い（起点＝最寄り）
ui_battle_skill_dbg_area_far,範囲・射程外まで巻き込む
ui_battle_skill_dbg_area_heal,範囲回復（起点＝自分）
ui_battle_skill_dbg_recast_two,再発動・2段（弱→強）
ui_battle_skill_dbg_summon,召喚・2体（後衛）
ui_battle_summon_dbg_guard,守護霊（検証用）
ui_battle_skill_dbg_hit_true,確定打（検証用）
ui_battle_skill_dbg_hit_true_b,確定打B（検証用）
ui_battle_skill_dbg_hit_true_c,確定打C（検証用）
ui_battle_skill_dbg_hit_phys,物理打（検証用）
ui_battle_skill_dbg_hit_weak,弱打（検証用）
ui_battle_skill_dbg_mit_reduce,軽減付与（検証用）
ui_battle_skill_dbg_mit_pierce,貫通付与（検証用）
ui_battle_skill_dbg_mit_crit,確定会心付与（検証用）
ui_battle_skill_dbg_mit_shield,盾付与（検証用）
ui_battle_skill_dbg_mit_reflect,反射付与（検証用）
ui_battle_skill_dbg_mit_thorns,棘の盾付与（検証用）
ui_battle_skill_dbg_mit_reflect_self,自分に反射（検証用）
ui_battle_skill_dbg_aura_atk,オーラ（検証用）
ui_battle_skill_dbg_aura_follow,追従オーラ（検証用）
ui_battle_skill_dbg_pool_dmg,毒沼（検証用）
ui_battle_skill_dbg_pool_heal,回復地帯（検証用）
ui_battle_skill_dbg_atk_mult,攻撃力2倍（検証用）
ui_battle_skill_dbg_dot_self_mix,自分に毒（検証用）
ui_status_ch_status_power_slash_atk_up,攻
ui_status_ch_status_wide_sweep_guard,守
ui_status_ch_status_holy_burn,灼
ui_status_ch_st_dbg_atk_mult,倍
ui_status_ch_st_dbg_aura_atk,輪
ui_status_ch_st_dbg_aura_follow,従
ui_status_ch_st_dbg_critfix,会
ui_status_ch_st_dbg_dot_self_mix,毒
ui_status_ch_st_dbg_pierce,貫
ui_status_ch_st_dbg_pool_dmg,沼
ui_status_ch_st_dbg_pool_heal,泉
ui_status_ch_st_dbg_reduce,減
ui_status_ch_st_dbg_reflect,返
ui_status_ch_st_dbg_reflect_self,反
ui_status_ch_st_dbg_shield,盾
ui_status_ch_st_dbg_thorns,棘
ui_status_ch_status_dbg_ally_atk,援
ui_status_ch_status_dbg_atk_refresh,攻
ui_status_ch_status_dbg_atk_short,短
ui_status_ch_status_dbg_atk_stack,積
ui_status_ch_status_dbg_atkspd,速
ui_status_ch_status_dbg_charge_guard,構
ui_status_ch_status_dbg_cond_poison_atk,条
ui_status_ch_status_dbg_def_down,弱
ui_status_ch_status_dbg_delay_atk,遅
ui_status_ch_status_dbg_dot_all,全
ui_status_ch_status_dbg_dot_long,長
ui_status_ch_status_dbg_dot_odd,端
ui_status_ch_status_dbg_dot_once,単
ui_status_ch_status_dbg_dot_self,自
ui_status_ch_status_dbg_mix_atk,混
ui_status_ch_status_dbg_mix_dot,濁
ui_status_ch_status_dbg_passive_atk,常
ui_status_ch_status_dbg_passive_cond,件
ui_status_ch_status_dbg_react_followup,追
ui_status_ch_status_dbg_react_thorns,棘
ui_status_ch_status_dbg_react_warcry,号
ui_status_ch_status_dbg_react_warcry_atk,鼓
ui_status_ch_status_edbg_buff_atk,猛
ui_status_ch_status_edbg_cond_atk,察
ui_status_ch_status_edbg_dot,汚
ui_status_ch_status_edbg_followup,継
ui_status_ch_status_edbg_immune,免
ui_status_ch_status_edbg_passive_def,硬
ui_status_ch_status_edbg_passive_mark,印
ui_status_ch_status_edbg_react,応
ui_status_ch_status_edbg_recv_down,阻
ui_status_ch_status_edbg_revive,蘇
ui_res_construction_material_2,石材
ui_res_construction_material_3,鉄材
ui_res_construction_material_4,金材
ui_res_training_material_2,鍛錬の証
ui_res_training_material_3,練達の証
ui_res_training_material_4,極意の証
ui_res_forging_material_2,鍛冶の塊
ui_res_forging_material_3,鍛冶の結晶
ui_res_forging_material_4,鍛冶の極
ui_res_decor_material_1,飾り石
ui_res_decor_material_2,飾り玉
ui_res_decor_material_3,飾り晶
ui_res_decor_material_4,飾りの極
ui_res_part_gem_hp_1,HPの宝石①
ui_res_part_gem_hp_2,HPの宝石②
ui_res_part_gem_hp_3,HPの宝石③
ui_res_part_gem_hp_4,HPの宝石④
ui_res_part_gem_atk_1,攻撃の宝石①
ui_res_part_gem_atk_2,攻撃の宝石②
ui_res_part_gem_atk_3,攻撃の宝石③
ui_res_part_gem_atk_4,攻撃の宝石④
ui_res_part_gem_mag_1,魔力の宝石①
ui_res_part_gem_mag_2,魔力の宝石②
ui_res_part_gem_mag_3,魔力の宝石③
ui_res_part_gem_mag_4,魔力の宝石④
ui_res_part_charm_def_1,物理防御の護符①
ui_res_part_charm_def_2,物理防御の護符②
ui_res_part_charm_def_3,物理防御の護符③
ui_res_part_charm_def_4,物理防御の護符④
ui_res_part_charm_mdef_1,魔法防御の護符①
ui_res_part_charm_mdef_2,魔法防御の護符②
ui_res_part_charm_mdef_3,魔法防御の護符③
ui_res_part_charm_mdef_4,魔法防御の護符④
ui_res_part_emblem_crit_rate_1,会心率の紋章①
ui_res_part_emblem_crit_rate_2,会心率の紋章②
ui_res_part_emblem_crit_rate_3,会心率の紋章③
ui_res_part_emblem_crit_rate_4,会心率の紋章④
ui_res_part_emblem_crit_dmg_1,会心倍率の紋章①
ui_res_part_emblem_crit_dmg_2,会心倍率の紋章②
ui_res_part_emblem_crit_dmg_3,会心倍率の紋章③
ui_res_part_emblem_crit_dmg_4,会心倍率の紋章④
ui_res_part_emblem_atkspd_1,攻撃速度の紋章①
ui_res_part_emblem_atkspd_2,攻撃速度の紋章②
ui_res_part_emblem_atkspd_3,攻撃速度の紋章③
ui_res_part_emblem_atkspd_4,攻撃速度の紋章④
ui_res_part_emblem_haste_1,CD短縮の紋章①
ui_res_part_emblem_haste_2,CD短縮の紋章②
ui_res_part_emblem_haste_3,CD短縮の紋章③
ui_res_part_emblem_haste_4,CD短縮の紋章④
ui_part_slot_header,枠
ui_part_slot_empty,（空き）
ui_part_attach,刺す
ui_part_detach,外す
ui_part_break_confirm,%s を外すと壊れます。素材に戻りますか？
ui_part_broken,壊れて素材になった
ui_part_upgrade,段階を上げる
ui_part_dismantle,壊す
ui_part_owned_header,刺せる装飾
ui_part_reject_locked,この枠はまだ開いていない
ui_part_reject_occupied,先に刺さっているものを外すこと
ui_part_reject_unknown,その装飾は存在しない
ui_part_reject_kind,この部位には刺さらない
ui_part_reject_stock,その装飾を持っていない
ui_part_attached,刺した
ui_part_slot_kind_gem,宝石枠
ui_part_slot_kind_charm,護符枠
ui_part_slot_kind_emblem,紋章枠
ui_part_slot_kind_rune,ルーン枠
ui_part_slot_kind_wild,ワイルド枠
ui_party_preset_title,パーティ編成
ui_party_preset_presets_header,編成プリセット
ui_party_preset_members_header,いまの編成
ui_party_preset_slot,編成%d
ui_party_preset_build,ビルド%d
ui_party_preset_empty,空き
ui_party_preset_apply,適用
ui_party_preset_save,保存
ui_party_preset_clear,消す
ui_party_preset_burn,焼く
ui_party_preset_applied,適用しました
ui_party_preset_unsaved,このプリセットは空です
ui_party_preset_ref_unsaved,参照しているビルドが空です
ui_party_preset_broken,このプリセットは壊れています
ui_party_preset_taken,%s から %s を外しました
ui_party_preset_missing,%s の%sが見つかりませんでした
ui_party_preset_nodes_skipped,%s の割り振りは当てられませんでした
ui_nav_party_preset,編成
ui_party_preset_burned,ビルド%d に焼きました
ui_res_part_rune_buff_1,力のルーン①
ui_res_part_rune_buff_2,力のルーン②
ui_res_part_rune_buff_3,力のルーン③
ui_res_part_rune_buff_4,力のルーン④
ui_res_part_rune_buff_5,力のルーン⑤
ui_res_part_rune_debuff_1,弱めのルーン①
ui_res_part_rune_debuff_2,弱めのルーン②
ui_res_part_rune_debuff_3,弱めのルーン③
ui_res_part_rune_debuff_4,弱めのルーン④
ui_res_part_rune_debuff_5,弱めのルーン⑤
ui_res_part_rune_move_1,踏み込みのルーン①
ui_res_part_rune_move_2,踏み込みのルーン②
ui_res_part_rune_move_3,踏み込みのルーン③
ui_res_part_rune_move_4,踏み込みのルーン④
ui_res_part_rune_move_5,踏み込みのルーン⑤
ui_res_part_rune_heal_1,癒しのルーン①
ui_res_part_rune_heal_2,癒しのルーン②
ui_res_part_rune_heal_3,癒しのルーン③
ui_res_part_rune_heal_4,癒しのルーン④
ui_res_part_rune_heal_5,癒しのルーン⑤
ui_res_part_rune_shield_1,守りのルーン①
ui_res_part_rune_shield_2,守りのルーン②
ui_res_part_rune_shield_3,守りのルーン③
ui_res_part_rune_shield_4,守りのルーン④
ui_res_part_rune_shield_5,守りのルーン⑤
ui_status_ch_st_rune_buff,攻
ui_status_ch_st_rune_debuff,弱
ui_status_ch_st_rune_shield,盾
ui_part_rune_move,移動量
ui_part_rune_merge,重ねる
ui_part_rune_move_format,%+d
ui_part_reject_rune_max,これ以上重ねられません
ui_part_reject_rune_stock,同じルーンが%d個要ります
ui_part_reject_rune_kind,重ねられない装飾です
ui_skill_select_passive_header,パッシブ（レベルで解放・全部効く）
ui_skill_select_passive_locked,Lv%dで解放
ui_battle_passive_sw_whetstone,研ぎ澄まし（攻撃力+10%）
ui_battle_passive_sw_last_wall,背水の壁（HP半分以下で防御+25）
ui_battle_passive_sw_thorn_mail,棘の鎧（被弾で反撃）
ui_battle_passive_sw_bloodlust,血の昂り（敵2体以下で攻撃速度+15）
ui_battle_passive_sw_vanguard,先陣（防御+20・魔防+20）
ui_battle_passive_ar_steady_aim,静かな狙い（会心率+10）
ui_battle_passive_ar_opening_shot,先手（開幕15秒は攻撃力+20%）
ui_battle_passive_ar_follow_through,追い射ち（命中で追撃）
ui_battle_passive_ar_hunters_focus,狩人の集中（敵2体以下で会心ダメージ+40）
ui_battle_passive_ar_volley_master,連射の極み（攻撃速度+20）
ui_battle_passive_pr_devotion,献身（魔力+12）
ui_battle_passive_pr_triage,選別（味方2人以下で魔力+25）
ui_battle_passive_pr_sanctuary,聖域（魔防+20）
ui_battle_passive_pr_zeal,熱意（30秒経過で詠唱速度+15）
ui_battle_passive_pr_benediction,祝祷（魔力+20・詠唱速度+10）
ui_status_ch_status_sw_whetstone,研
ui_status_ch_status_sw_last_wall,壁
ui_status_ch_status_sw_thorn_mail,棘
ui_status_ch_status_sw_bloodlust,昂
ui_status_ch_status_sw_vanguard_def,陣
ui_status_ch_status_sw_vanguard_mdef,盾
ui_status_ch_status_ar_steady_aim,狙
ui_status_ch_status_ar_opening_shot,先
ui_status_ch_status_ar_follow_through,追
ui_status_ch_status_ar_hunters_focus,集
ui_status_ch_status_ar_volley_master,連
ui_status_ch_status_pr_devotion,献
ui_status_ch_status_pr_triage,選
ui_status_ch_status_pr_sanctuary,聖
ui_status_ch_status_pr_zeal,熱
ui_status_ch_status_pr_benediction_mag,祝
ui_status_ch_status_pr_benediction_haste,詠
ui_research_category_workshop,作業場
ui_research_b2_craft_1,製作手順の見直し
ui_research_b2_craft_2,作業台の増設
ui_research_effect_craft_speed,製作時間 -%d%%
